Объем торгов в апреле 2023;https://www.moex.com/n55995;5000000000000
Объем торгов в марте 2023;https://www.moex.com/n55502;5000000000000 рублей
Объем торгов в феврале 2023;https://www.moex.com/n54912;4000000000000 рублей
Объем торгов в январе 2023;https://www.moex.com/n54307;3000000000000 рублей
Объем торгов в декабре 2022;https://www.moex.com/n53917;77000000000000 рублей
Объем торгов в ноябре 2022;https://www.moex.com/n53343;3000000000000 рублей
Объем торгов в октябре 2022;https://www.moex.com/n52846;3000000000000 рублей
Объем торгов в сентябре 2022;https://www.moex.com/n51955;4000000000000 рублей
Объем торгов в августе 2022;https://www.moex.com/n51143;4000000000000 рублей
Объем торгов в июле 2022;https://www.moex.com/n50511;6000000000000 рублей
Объем торгов в июне 2022;https://www.moex.com/n49769/?nt=106;5000000000000 рублей
Объем торгов в мае 2022;https://www.moex.com/n48039;5000000000000 рублей
Объем торгов в апреле 2022;https://www.moex.com/n47625;4000000000000 рублей
Объем торгов в марте 2022;https://www.moex.com/n46521;2000000000000 рублей
Объем торгов в феврале 2022;https://www.moex.com/n44113;16000000000000 рублей
Объем торгов в январе 2022;https://www.moex.com/n40623/?nt=106;16000000000000 рублей
Объем торгов в декабре 2021;https://www.moex.com/n39381;158000000000000 рублей
Объем торгов в ноябре 2021;https://www.moex.com/n38351;17000000000000 рублей
Объем торгов в октябре 2021;https://www.moex.com/n37392;13000000000000 рублей
Объем торгов в сентябре 2021;https://www.moex.com/n36683;12000000000000 рублей
Объем торгов в августе 2021;https://www.moex.com/n36054;11000000000000 рублей
Объем торгов в июле 2021;https://www.moex.com/n35483/?nt=106;12000000000000 рублей
Объем торгов в июне 2021;https://www.moex.com/n34956;11000000000000 рублей
Объем торгов в мае 2021;https://www.moex.com/n34403/?nt=120;10000000000000 рублей
Объем торгов в апреле 2021;https://www.moex.com/n33945;13000000000000 рублей
Объем торгов в марте 2021;https://www.moex.com/n33409;16000000000000 рублей
Объем торгов в феврале 2021;https://www.moex.com/n32835;12000000000000 рублей
Объем торгов в январе 2021;https://www.moex.com/n32431;11000000000000 рублей
